impl,grid_size,num_threads,time
seq,32,1,0.000694
seq,32,1,0.000692
seq,32,1,0.000697
seq,32,1,0.000694
seq,32,1,0.000739
seq,32,1,0.000757
seq,32,1,0.000747
seq,32,1,0.000699
seq,32,1,0.000696
seq,32,1,0.000741
seq,32,1,0.000697
seq,32,1,0.000697
seq,32,1,0.000697
seq,32,1,0.000697
seq,32,1,0.000735
seq,64,1,0.003548
seq,64,1,0.002886
seq,64,1,0.002929
seq,64,1,0.003102
seq,64,1,0.002886
seq,64,1,0.002925
seq,64,1,0.002894
seq,64,1,0.002895
seq,64,1,0.003362
seq,64,1,0.002867
seq,64,1,0.002865
seq,64,1,0.003273
seq,64,1,0.002882
seq,64,1,0.002839
seq,64,1,0.002849
seq,128,1,0.012007
seq,128,1,0.011696
seq,128,1,0.011867
seq,128,1,0.011892
seq,128,1,0.011634
seq,128,1,0.012090
seq,128,1,0.011712
seq,128,1,0.011794
seq,128,1,0.011888
seq,128,1,0.011985
seq,128,1,0.011610
seq,128,1,0.011570
seq,128,1,0.012061
seq,128,1,0.011617
seq,128,1,0.012092
seq,256,1,0.047303
seq,256,1,0.047024
seq,256,1,0.047450
seq,256,1,0.047409
seq,256,1,0.047803
seq,256,1,0.047108
seq,256,1,0.047664
seq,256,1,0.047434
seq,256,1,0.047444
seq,256,1,0.047509
seq,256,1,0.047567
seq,256,1,0.047034
seq,256,1,0.047566
seq,256,1,0.047023
seq,256,1,0.047619
seq,512,1,0.187386
seq,512,1,0.187040
seq,512,1,0.186594
seq,512,1,0.187160
seq,512,1,0.189223
seq,512,1,0.187140
seq,512,1,0.187113
seq,512,1,0.187474
seq,512,1,0.187950
seq,512,1,0.186971
seq,512,1,0.187837
seq,512,1,0.189251
seq,512,1,0.187124
seq,512,1,0.188286
seq,512,1,0.197922
seq,1024,1,0.751158
seq,1024,1,0.746304
seq,1024,1,0.748428
seq,1024,1,0.746499
seq,1024,1,0.745311
seq,1024,1,0.746274
seq,1024,1,0.748116
seq,1024,1,0.747625
seq,1024,1,0.745795
seq,1024,1,0.753049
seq,1024,1,0.751547
seq,1024,1,0.746200
seq,1024,1,0.745514
seq,1024,1,0.748339
seq,1024,1,0.746515
seq,2048,1,3.019819
seq,2048,1,2.995129
seq,2048,1,2.987503
seq,2048,1,2.986649
seq,2048,1,2.994717
seq,2048,1,3.021661
seq,2048,1,3.057111
seq,2048,1,3.006459
seq,2048,1,3.028717
seq,2048,1,3.040140
seq,2048,1,2.988262
seq,2048,1,2.987168
seq,2048,1,2.981736
seq,2048,1,2.984251
seq,2048,1,3.025714
seq,4096,1,11.933878
seq,4096,1,11.932573
seq,4096,1,11.926156
seq,4096,1,11.921711
seq,4096,1,11.927481
seq,4096,1,11.938068
seq,4096,1,11.942727
seq,4096,1,11.927849
seq,4096,1,11.925966
seq,4096,1,11.920061
seq,4096,1,11.913054
seq,4096,1,11.950735
seq,4096,1,11.918167
seq,4096,1,11.930288
seq,4096,1,11.919417
pth,32,1,0.002589
pth,32,1,0.002011
pth,32,1,0.002086
pth,32,1,0.002453
pth,32,1,0.001974
pth,32,1,0.002572
pth,32,1,0.002146
pth,32,1,0.002524
pth,32,1,0.002392
pth,32,1,0.001938
pth,32,1,0.002008
pth,32,1,0.002074
pth,32,1,0.002062
pth,32,1,0.001975
pth,32,1,0.002112
pth,32,2,0.002466
pth,32,2,0.002235
pth,32,2,0.002093
pth,32,2,0.002273
pth,32,2,0.002105
pth,32,2,0.002139
pth,32,2,0.002047
pth,32,2,0.002033
pth,32,2,0.002204
pth,32,2,0.002052
pth,32,2,0.002567
pth,32,2,0.002242
pth,32,2,0.002349
pth,32,2,0.002145
pth,32,2,0.002356
pth,32,4,0.002740
pth,32,4,0.002766
pth,32,4,0.002787
pth,32,4,0.002881
pth,32,4,0.002949
pth,32,4,0.003122
pth,32,4,0.003247
pth,32,4,0.003239
pth,32,4,0.002964
pth,32,4,0.002976
pth,32,4,0.002787
